"I haven't the slightest idea of what it does or what it's good for, but I want it.","이게 어디에 쓰이는 건지, 어디에 좋은 건지 전혀 모르겠지만, 그냥 갖고 싶어."
"As you play ping-pong, wherever the ball hits the table, the ripples spread out and the fish run away.","탁구를 칠 때 공이 테이블 표면 어디든 부딪히면, (그 자리에서 물결이) 사방으로 퍼져 나가고 물고기들이 도망쳐 버린다."
"Instead of saying, ""You got 73,000 results. This is one through 20. Next.""","'73,000개의 검색 결과가 있습니다. 이것은 1번부터 20번까지의 결과입니다. 다음 페이지로 넘어가세요.'라고 (기계적으로) 말하는 대신에"
They just give you as many o's as there are pages.,그들은 검색 결과 페이지 수만큼 'o'의 개수를 늘려서 보여줄 뿐입니다.
That's the subconscious mind that sort of notices it.,그것을 어렴풋이 알아차리는 것은 바로 우리의 무의식입니다.
It probably is kind of pleasant but you didn't know why.,"아마 왠지 모르게 기분이 좋을 테지만, 정작 왜 그런지는 당신도 모를 것입니다."
You know this is a car that has lots of faults.,당신은 이 자동차에 결함이 아주 많다는 것을 알고 있습니다.
It's so much fun to drive.,하지만 운전하는 것이 너무나도 즐겁죠.
It's neat.,참 멋집니다.
So that's my new life; it's all about fun.,그래서 그것이 제 새로운 인생의 모토입니다. 핵심은 바로 '즐거움'이죠.
"I really have the feeling that pleasant things work better, and that never made any sense to me.","저는 매력적이고 즐거운 제품이 실제로도 더 잘 작동한다는 느낌을 강하게 받는데, 예전의 저에게는 이것이 전혀 말이 안 되는 소리였습니다."
Intense fear paralyzes you.,강렬한 공포(불안)는 당신을 마비시킵니다.
It actually affects the way the brain works.,그것은 실제로 뇌가 작동하는 방식에 영향을 미칩니다.
"It causes you to be — what's called depth-first processing — focus, not be distracted.","그것은 당신을 집중하게 만들고 산만해지지 않게 하는데, 이를 이른바 '깊이 우선 처리(depth-first processing)'라고 부릅니다."
Guess what?,그거 아세요?
"It turns out that when you're anxious you squirt neural transmitters in the brain, which focuses you, makes you depth-first.","알고 보니 당신이 불안할 때 뇌 속에서 어떤 신경전달물질이 분비되는데, 이것이 당신을 집중하게 만들고 '깊이 우선(한 우물만 파는 방식)'으로 작동하게 만듭니다."
"When you're happy — what we call positive valence — you squirt dopamine into the prefrontal lobes, which makes you a breadth-first problem solver.","반대로 당신이 행복할 때—우리가 '긍정적 정서가(positive valence)'라고 부르는 상태일 때—뇌의 전두엽에 도파민이 분비되며, 이는 당신을 '너비 우선(다방면으로 시도하는 방식)'의 문제 해결사로 만듭니다."
You're more susceptible to interruption.,이 상태에서는 주변의 방해나 자극에 더 영향을 받기 쉽습니다.
You do out-of-the-box thinking.,대신 틀에서 벗어난 창의적인 사고를 하게 되죠.
"But in fact, if that's how you always were you'd never get any work done because you'd be working along and say ""Oh I got a new way of doing it.""","하지만 사실 항상 그런 상태(행복해서 아이디어가 넘치는 상태)로만 있는다면 당신은 어떤 일도 끝마치지 못할 것입니다. 일을 하다가도 '아, 이걸 하는 새로운 방법이 생각났어!'라며 샛길로 빠질 테니까요."
"There's something I call the visceral level of processing, and there will be visceral-level design.","제가 '본능적 수준의 처리(visceral level of processing)'라고 부르는 단계가 있으며, 그에 따른 '본능적 수준의 디자인'도 존재합니다."
We dislike scolding voices.,우리는 꾸짖는 목소리(혼내는 목소리)를 싫어합니다.
We dislike frowning faces.,우리는 찡그린 얼굴을 싫어합니다.
We like symmetrical faces.,우리는 대칭을 이루는 얼굴(좌우 대칭이 맞는 얼굴)을 좋아합니다.
The middle of processing is the behavioral level and that's actually where most of our stuff gets done.,"인간 처리 과정의 중간 단계는 '행동적 수준'이며, 실제로 우리가 하는 대부분의 일들이 바로 여기서 일어납니다."
Automatic behavior — skilled behavior — is subconscious.,"자동화된 행동—즉, 숙련된 행동—은 무의식적입니다."
"Behavioral design is all about feeling in control, which includes usability, understanding, but also the feel and heft.","행동적 디자인의 핵심은 (제품을) 완전히 제어하고 있다는 느낌을 갖게 하는 것이며, 여기에는 사용성이나 이해 가능성뿐만 아니라 손에 닿는 감촉과 무게감까지도 포함됩니다."
